 ________________________________________________________________________________________________________ 
|    Username / Q#->   |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 | Last 10  |  Total   |
|--------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  C  |  B  |  A  |  C  |  D  |  C  |  B  |  A  |  A  |  D  |          |          |
|--------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  C  |  B  |  A  |  A  |  D  |  D  |  B  |  A  |  A  |  B  |   7/10   |  21/33   |
|  ThomasSecondChance  |  D  |  D  |  C  |  D  |  B  |  C  |  C  |  D  |  C  |  C  |   1/10   |   1/10   |
|     Apprentice57     |  D  |  B  |  A  |  D  |  D  |  C  |  C  |  A  |  A  |  B  |   6/10   |  16/25   |
| Background-House2313 |     |     |     |     |     |     |     |  A  |     |  B  |   1/2    |   1/2    |
|     Bukowskified     |  D  |  B  |  A  |  D  |  D  |  C  |  B  |  D  |  A  |  B  |   6/10   |  12/22   |
|  CharlesDickensABox  |  C  |  B  |  A  |  C  |  D  |  C  |  B  |     |  A  |  D  |   9/9    |  13/15   |
|      DerekLChase     |     |     |  A  |  D  |     |     |     |     |     |     |   1/2    |   1/2    |
|        Eldias        |     |  B  |  A  |  C  |  D  |  B  |     |     |     |     |   4/5    |   6/7    |
|        emacs83       |     |     |     |     |     |     |     |     |  A  |  B  |   1/2    |   1/2    |
|       fauxjolly      |  C  |  B  |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|        giglia        |     |     |     |  C  |     |  C  |     |     |     |  D  |   3/3    |   8/9    |
|       homininet      |     |     |  A  |  D  |  D  |  C  |  D  |  A  |     |     |   4/6    |   4/6    |
|     hufflepuffin9    |     |     |     |     |  D  |  C  |  B  |  A  |     |     |   4/4    |   4/4    |
|    i_am_voldemort    |     |  B  |     |     |  D  |     |     |     |     |     |   2/2    |   2/2    |
|   its_sandwich_time  |     |  B  |  A  |  C  |  D  |  C  |  B  |  A  |  A  |  D  |   9/9    |  12/15   |
|     JagerVanKaas     |  C  |  B  |  A  |  C  |  D  |  C  |  B  |  A  |  A  |  D  |  10/10   |  18/19   |
|       jimillett      |  C  |     |  A  |     |     |  C  |     |     |     |     |   3/3    |   3/3    |
|        jxb1978       |     |     |     |     |     |  D  |     |  A  |     |     |   1/2    |   1/2    |
|   Kind-Sherbet-7857  |     |     |     |     |  D  |  C  |     |     |     |     |   2/2    |   2/2    |
|      ocher_stone     |     |  B  |     |     |     |     |     |     |     |  D  |   2/2    |   3/3    |
|      Oddly_Todd      |     |     |     |  D  |  D  |  D  |  B  |  A  |  A  |  D  |   5/7    |   5/7    |
|     PlanetStarbux    |     |     |     |     |  D  |  C  |     |     |     |     |   2/2    |   2/2    |
|        poored1       |     |     |  A  |  D  |     |     |     |     |     |     |   1/2    |   1/2    |
|  RestaurantNovel8927 |     |  B  |  A  |  C  |  D  |  D  |  B  |  A  |  A  |  D  |   8/9    |   8/9    |
| Succ_Semper_Tyrannis |  C  |  B  |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
|        tomksfw       |     |     |     |  C  |  B  |     |     |     |     |     |   1/2    |   1/2    |
