Question 2
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer A. No, because the man had no reasonable expectation of privacy in garbage left in the alley.

NegatronThomas A
ThomasSecondChance D
beetle1211 B
Apprentice57 A
GreenEyedTrombonist A
AndrewJamesDrake A
Reasonable-Patient67 A
Eldias A
____-__________-____ A
QualifiedImpunity A
NYCQuilts A
