Question 77
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer A. Yes, because her husband was one of the people she saw lying in the wreckage.

NegatronThomas D
ThomasSecondChance C
MikeyMalloy D
seligman99 C
ProfPod C
Bukowskified B
its_sandwich_time D
pmags3000 C
wrosecrans B
Apprentice57 C

