Question 29
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer B. Yes, because this action is within the scope of executive authority vested in the President by the Constitution, and no federal statute prohibits it.

NegatronThomas B
ThomasSecondChance D
Apprentice57 B
i_am_voldemort B
its_sandwich_time B
Eldias B
OoopsWhoopsie B
Succ_Semper_Tyrannis B
Bukowskified B
JagerVanKaas B
RestaurantNovel8927 B
fauxjolly B
CharlesDickensABox B
ocher_stone B
LorePhoenix B

