Question 30
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer A. No, because the suspect waived his Miranda rights by making the statement.

NegatronThomas A
ThomasSecondChance C
poored1 A
CharlesDickensABox A
JagerVanKaas A
jimillett A
homininet A
roboats A
coreyrein A
KWilt A
Bukowskified A
Eldias A
ImFeelingTheUte-iest A
Apprentice57 A
RestaurantNovel8927 A
DerekLChase A
majornugzz A
Spinobreaker D
its_sandwich_time A

