Question 56
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer B. Congress' police power over the District of Columbia.

NegatronThomas B
ThomasSecondChance C
CharlesDickensABox B
ninetyfourtales B
takethebisque B
Bukowskified A
RebelStrategist A
Shadowfalx A
Eldias B
jenjen047 A
ShamelessAardvark B
its_sandwich_time B
Apprentice57 B

