Question 20
QuestionType Public
IsBonus No
CountsForThomas Yes
IsRepeat No
Answer A. Clyde cannot be charged with robbery as he did not use force or threat of force.

NegatronThomas A
ocher_stone A
Bukowskified A
giglia A
EmprahCalgar A
AndrewJamesDrake A
CharlesDickensABox A
its_sandwich_time A
JagerVanKaas A
Apprentice57 A
